
	45

0	1.99117e+07
0.028	11131
0.056	5668
0.084	2728
0.112	2239
0.14	1899
0.168	1685
0.196	1445
0.224	1508
0.252	1338
0.28	1224
0.308	1034
0.336	1001
0.364	916
0.392	782
0.42	760
0.448	711
0.476	693
0.504	617
0.532	1318
0.56	839
0.588	804
0.616	818
0.644	712
0.672	516
0.7	514
0.728	462
0.756	441
0.784	463
0.812	376
0.84	374
0.868	410
0.896	357
0.924	449
0.952	690
0.98	1656
1.008	2215
1.036	955
1.064	501
1.092	425
1.12	457
1.148	321
1.176	217
1.204	241
1.232	217
1.26	201
1.288	231
1.316	185
1.344	179
1.372	185
1.4	168
1.428	156
1.456	164
1.484	208
1.512	232
1.54	176
1.568	225
1.596	598
1.624	716
1.652	294
1.68	142
1.708	123
1.736	122
1.764	119
1.792	115
1.82	116
1.848	121
1.876	111
1.904	130
1.932	118
1.96	109
1.988	115
2.016	121
2.044	119
2.072	115
2.1	126
2.128	108
2.156	118
2.184	107
2.212	141
2.24	137
2.268	130
2.296	112
2.324	121
2.352	115
2.38	105
2.408	133
2.436	122
2.464	122
2.492	105
2.52	107
2.548	95
2.576	113
2.604	117
2.632	125
2.66	124
2.688	123
2.716	375
2.744	97
2.772	110
2.8	121
2.828	144
2.856	114
2.884	117
2.912	119
2.94	129
2.968	140
2.996	114
3.024	110
3.052	101
3.08	104
3.108	95
3.136	105
3.164	99
3.192	103
3.22	1465
3.248	90
3.276	112
3.304	123
3.332	121
3.36	148
3.388	135
3.416	139
3.444	186
3.472	130
3.5	148
3.528	118
3.556	124
3.584	134
3.612	137
3.64	137
3.668	122
3.696	142
3.724	129
3.752	105
3.78	118
3.808	111
3.836	265
3.864	466
3.892	527
3.92	636
3.948	910
3.976	174
4.004	179
4.032	173
4.06	176
4.088	152
4.116	141
4.144	113
4.172	84
4.2	83
4.228	69
4.256	47
4.284	44
4.312	40
4.34	269
4.368	1173
4.396	1230
4.424	1587
4.452	2832
4.48	49
4.508	53
4.536	42
4.564	49
4.592	46
4.62	55
4.648	48
4.676	57
4.704	46
4.732	38
4.76	36
4.788	37
4.816	34
4.844	27
4.872	34
4.9	36
4.928	33
4.956	27
4.984	36
5.012	29
5.04	31
5.068	28
5.096	34
5.124	32
5.152	33
5.18	28
5.208	28
5.236	22
5.264	26
5.292	35
5.32	20
5.348	29
5.376	25
5.404	29
5.432	30
5.46	30
5.488	22
5.516	27
5.544	32
5.572	20
5.6	28
5.628	20
5.656	28
5.684	30
5.712	25
5.74	37
5.768	30
5.796	20
5.824	24
5.852	27
5.88	21
5.908	24
5.936	31
5.964	25
5.992	27
6.02	23
6.048	32
6.076	34
6.104	37
6.132	29
6.16	32
6.188	25
6.216	23
6.244	29
6.272	23
6.3	21
6.328	21
6.356	30
6.384	24
6.412	32
6.44	22
6.468	24
6.496	21
6.524	26
6.552	28
6.58	20
6.608	37
6.636	29
6.664	31
6.692	33
6.72	29
6.748	25
6.776	21
6.804	35
6.832	20
6.86	26
6.888	29
6.916	30
6.944	21
6.972	29
7	17
7.028	31
7.056	30
7.084	25
7.112	27
7.14	32
7.168	26
7.196	18
7.224	15
7.252	28
7.28	17
7.308	15
7.336	26
7.364	30
7.392	20
7.42	27
7.448	18
7.476	22
7.504	20
7.532	14
7.56	24
7.588	26
7.616	29
7.644	18
7.672	23
7.7	18
7.728	24
7.756	16
7.784	26
7.812	23
7.84	23
7.868	21
7.896	23
7.924	23
7.952	19
7.98	19
8.008	27
8.036	17
8.064	20
8.092	26
8.12	20
8.148	31
8.176	19
8.204	23
8.232	22
8.26	30
8.288	29
8.316	33
8.344	24
8.372	45
8.4	29
8.428	39
8.456	22
8.484	30
8.512	26
8.54	34
8.568	25
8.596	27
8.624	46
8.652	26
8.68	22
8.708	31
8.736	23
8.764	21
8.792	22
8.82	30
8.848	26
8.876	31
8.904	24
8.932	16
8.96	24
8.988	21
9.016	19
9.044	20
9.072	21
9.1	18
9.128	244
9.156	35
9.184	28
9.212	27
9.24	29
9.268	34
9.296	20
9.324	22
9.352	23
9.38	19
9.408	11
9.436	22
9.464	17
9.492	12
9.52	11
9.548	10
9.576	17
9.604	15
9.632	13
9.66	412
9.688	22
9.716	15
9.744	17
9.772	14
9.8	12
9.828	20
9.856	20
9.884	12
9.912	18
9.94	16
9.968	29
9.996	12
10.024	20
10.052	23
10.08	17
10.108	24
10.136	25
10.164	14
10.192	19
10.22	31
10.248	17
10.276	18
10.304	26
10.332	20
10.36	17
10.388	23
10.416	18
10.444	21
10.472	25
10.5	23
10.528	33
10.556	20
10.584	19
10.612	27
10.64	22
10.668	24
10.696	16
10.724	28
10.752	20
10.78	28
10.808	27
10.836	25
10.864	34
10.892	35
10.92	21
10.948	35
10.976	31
11.004	34
11.032	36
11.06	30
11.088	34
11.116	33
11.144	26
11.172	43
11.2	32
11.228	48
11.256	39
11.284	31
11.312	37
11.34	39
11.368	23
11.396	28
11.424	19
11.452	31
11.48	46
11.508	32
11.536	29
11.564	32
11.592	39
11.62	37
11.648	28
11.676	27
11.704	23
11.732	20
11.76	9
11.788	20
11.816	30
11.844	16
11.872	16
11.9	18
11.928	27
11.956	19
11.984	16
12.012	20
12.04	16
12.068	8
12.096	14
12.124	14
12.152	12
12.18	19
12.208	20
12.236	19
12.264	17
12.292	13
12.32	10
12.348	4
12.376	12
12.404	8
12.432	7
12.46	15
12.488	9
12.516	13
12.544	10
12.572	10
12.6	8
12.628	4
12.656	5
12.684	6
12.712	7
12.74	4
12.768	1
12.796	0
12.824	2
12.852	0
12.88	0
12.908	0
12.936	0
12.964	0
12.992	0
13.02	0
13.048	0
13.076	0
13.104	0
13.132	0
13.16	0
13.188	0
13.216	0
13.244	1
13.272	0
13.3	0
13.328	0
13.356	1
13.384	0
13.412	0
13.44	0
13.468	0
13.496	1
13.524	0
13.552	0
13.58	1
13.608	0
13.636	0
13.664	0
13.692	0
13.72	0
13.748	0
13.776	0
13.804	0
13.832	0
13.86	0
13.888	0
13.916	0
13.944	0
13.972	1

	60

0	1.9915e+07
0.028	10796
0.056	5332
0.084	2698
0.112	2184
0.14	1890
0.168	1638
0.196	1488
0.224	1410
0.252	1357
0.28	1158
0.308	1025
0.336	1009
0.364	911
0.392	836
0.42	786
0.448	714
0.476	643
0.504	698
0.532	1294
0.56	815
0.588	804
0.616	719
0.644	706
0.672	527
0.7	465
0.728	437
0.756	401
0.784	436
0.812	417
0.84	415
0.868	397
0.896	381
0.924	428
0.952	618
0.98	1587
1.008	2082
1.036	999
1.064	445
1.092	436
1.12	395
1.148	322
1.176	248
1.204	216
1.232	219
1.26	237
1.288	218
1.316	203
1.344	197
1.372	202
1.4	170
1.428	167
1.456	160
1.484	197
1.512	183
1.54	188
1.568	254
1.596	536
1.624	766
1.652	270
1.68	129
1.708	121
1.736	145
1.764	129
1.792	134
1.82	119
1.848	132
1.876	122
1.904	121
1.932	117
1.96	121
1.988	113
2.016	95
2.044	107
2.072	106
2.1	111
2.128	113
2.156	119
2.184	111
2.212	142
2.24	126
2.268	105
2.296	135
2.324	119
2.352	123
2.38	120
2.408	140
2.436	123
2.464	145
2.492	100
2.52	124
2.548	96
2.576	114
2.604	99
2.632	109
2.66	113
2.688	110
2.716	336
2.744	107
2.772	116
2.8	105
2.828	109
2.856	117
2.884	120
2.912	98
2.94	109
2.968	114
2.996	109
3.024	96
3.052	101
3.08	87
3.108	88
3.136	95
3.164	91
3.192	83
3.22	1350
3.248	82
3.276	92
3.304	89
3.332	96
3.36	105
3.388	144
3.416	119
3.444	189
3.472	134
3.5	129
3.528	111
3.556	122
3.584	113
3.612	122
3.64	125
3.668	122
